"Event.Index","UTC.Timestamp","UTC.Date","Participant.Private.ID","Task.Version","Trial.Number","Response","display","ARGUER_ID","discuss_1","read_1","gender","edu","argument_ID","Arg_Position","Arguments","stanely_V","stanley_Nv","intellectual_v_1","intellectual_v_2","intellectual_v_3","intellectual_Nv_1","intellectual_Nv_2","intellectual_Nv_3","morality_v_1","morality_v_2","morality_v_3","morality_Nv_1","morality_Nv_2","morality_Nv_3","rater_position","response_ratings","argument_index","Rater_ID","argument_Position","Arguer_Position","ITT_Condition_ProArguers","ITT_Condition_AntiArguers","ITT_cond","ITT_Baseline_ProArguers","ITT_Baseline_AntiArguers","passedITT","passed_relative_ITT"
49,1647023681473,"11/03/2022 18:34:41",6024683,2,46,"Strongly Agree","statements",15,"Rarely","Rarely","Male","Postgraduate degree (MSc, MA, MPhil)",3,"vegan","we can live without meat.","Somewhat Agree",NA,"Strongly Disagree","Neither Agree nor Disagree","Disagree",NA,NA,NA,"Disagree","Disagree","Somewhat Disagree",NA,NA,NA,"Pro",7,687,311,"For","ANTI",0,1,1,0,0,1,1
51,1647023687618,"11/03/2022 18:34:47",6024683,2,48,"Strongly Agree","statements",14,"Once or twice a year","Rarely","Female","Undergraduate degree (BSc, BA)",3,"vegan","Saving the planet, less animal farms ","Somewhat Disagree",NA,"Disagree","Somewhat Disagree","Disagree",NA,NA,NA,"Disagree","Disagree","Disagree",NA,NA,NA,"Pro",7,681,311,"For","ANTI",0,1,1,0,0,1,1
53,1647023695439,"11/03/2022 18:34:55",6024683,2,50,"Strongly Agree","statements",17,"Rarely","A few times a year","Male","A levels",3,"vegan","Some health benefits that come with it","Disagree",NA,"Strongly Disagree","Strongly Disagree","Strongly Disagree",NA,NA,NA,"Strongly Disagree","Strongly Disagree","Strongly Disagree",NA,NA,NA,"Pro",7,699,311,"For","ANTI",0,1,1,0,0,1,1
54,1647023697471,"11/03/2022 18:34:57",6024683,2,51,"Strongly Agree","statements",15,"Rarely","Rarely","Male","Postgraduate degree (MSc, MA, MPhil)",1,"vegan","Animals are in small cages.","Somewhat Agree",NA,"Strongly Disagree","Neither Agree nor Disagree","Disagree",NA,NA,NA,"Disagree","Disagree","Somewhat Disagree",NA,NA,NA,"Pro",7,685,311,"For","ANTI",0,1,1,0,0,1,1
55,1647023699018,"11/03/2022 18:34:59",6024683,2,52,"Strongly Agree","statements",11,"Never","Once or twice a year","Male","Vocational Training / Apprenticeship",2,"vegan","meat is disgusting","Somewhat Agree",NA,"Strongly Disagree","Strongly Disagree","Strongly Disagree",NA,NA,NA,"Strongly Disagree","Strongly Disagree","Strongly Disagree",NA,NA,NA,"Pro",7,662,311,"For","ANTI",0,1,1,0,0,1,1
58,1647023713602,"11/03/2022 18:35:13",6024683,2,55,"Strongly Agree","statements",12,"A few times a year","Most months","Male","A levels",2,"vegan","Because of the way animals are treated","Strongly agree",NA,"Disagree","Disagree","Disagree",NA,NA,NA,"Strongly Disagree","Disagree","Strongly Disagree",NA,NA,NA,"Pro",7,668,311,"For","ANTI",0,1,1,0,0,1,1
61,1647023720942,"11/03/2022 18:35:20",6024683,2,58,"Strongly Agree","statements",13,"Rarely","A few times a year","Male","No formal qualifications",1,"vegan","It is healthier for environment because it leaves smaller carbon footprint.","Somewhat Agree",NA,"Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree",NA,NA,NA,"Strongly Disagree","Somewhat Disagree","Somewhat Agree",NA,NA,NA,"Pro",7,673,311,"For","ANTI",0,1,1,0,0,1,1
65,1647023734379,"11/03/2022 18:35:34",6024683,2,62,"Strongly Agree","statements",12,"A few times a year","Most months","Male","A levels",3,"vegan","Because of health related problems","Strongly agree",NA,"Disagree","Disagree","Disagree",NA,NA,NA,"Strongly Disagree","Disagree","Strongly Disagree",NA,NA,NA,"Pro",7,669,311,"For","ANTI",0,1,1,0,0,1,1
3,1647024813741,"11/03/2022 18:53:33",6024941,2,1,"Strongly Agree","statements",14,"Once or twice a year","Rarely","Female","Undergraduate degree (BSc, BA)",1,"vegan","Saving Animals from cruel conditions","Somewhat Disagree",NA,"Disagree","Somewhat Disagree","Disagree",NA,NA,NA,"Disagree","Disagree","Disagree",NA,NA,NA,"Pro",7,679,312,"For","ANTI",0,1,1,0,0,1,1
4,1647024816449,"11/03/2022 18:53:36",6024941,2,2,"Agree","statements",15,"Rarely","Rarely","Male","Postgraduate degree (MSc, MA, MPhil)",1,"vegan","Animals are in small cages.","Somewhat Agree",NA,"Strongly Disagree","Neither Agree nor Disagree","Disagree",NA,NA,NA,"Disagree","Disagree","Somewhat Disagree",NA,NA,NA,"Pro",6,685,312,"For","ANTI",0,1,1,0,0,1,1
7,1647024827975,"11/03/2022 18:53:47",6024941,2,5,"Agree","statements",13,"Rarely","A few times a year","Male","No formal qualifications",1,"vegan","It is healthier for environment because it leaves smaller carbon footprint.","Somewhat Agree",NA,"Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree",NA,NA,NA,"Strongly Disagree","Somewhat Disagree","Somewhat Agree",NA,NA,NA,"Pro",6,673,312,"For","ANTI",0,1,1,0,0,1,1
11,1647024841829,"11/03/2022 18:54:01",6024941,2,9,"Agree","statements",13,"Rarely","A few times a year","Male","No formal qualifications",3,"vegan","It's even tastier than animal food, and much healthier.","Somewhat Agree",NA,"Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree",NA,NA,NA,"Strongly Disagree","Somewhat Disagree","Somewhat Agree",NA,NA,NA,"Pro",6,675,312,"For","ANTI",0,1,1,0,0,1,1
13,1647024847968,"11/03/2022 18:54:07",6024941,2,11,"Somewhat Agree","statements",17,"Rarely","A few times a year","Male","A levels",3,"vegan","Some health benefits that come with it","Disagree",NA,"Strongly Disagree","Strongly Disagree","Strongly Disagree",NA,NA,NA,"Strongly Disagree","Strongly Disagree","Strongly Disagree",NA,NA,NA,"Pro",5,699,312,"For","ANTI",0,1,1,0,0,0,0
14,1647024849534,"11/03/2022 18:54:09",6024941,2,12,"Agree","statements",18,"Most months","Most weeks","Female","Undergraduate degree (BSc, BA)",2,"vegan","Enviromental care.  ","Strongly agree",NA,"Strongly Disagree","Strongly Disagree","Strongly Disagree",NA,NA,NA,"Strongly Disagree","Strongly Disagree","Strongly Disagree",NA,NA,NA,"Pro",6,704,312,"For","ANTI",0,1,1,0,0,1,1
15,1647024851361,"11/03/2022 18:54:11",6024941,2,13,"Somewhat Agree","statements",11,"Never","Once or twice a year","Male","Vocational Training / Apprenticeship",3,"vegan","It is much healthier than a normal diet","Somewhat Agree",NA,"Strongly Disagree","Strongly Disagree","Strongly Disagree",NA,NA,NA,"Strongly Disagree","Strongly Disagree","Strongly Disagree",NA,NA,NA,"Pro",5,663,312,"For","ANTI",0,1,1,0,0,0,0
17,1647024858067,"11/03/2022 18:54:18",6024941,2,15,"Agree","statements",13,"Rarely","A few times a year","Male","No formal qualifications",2,"vegan","You can save animals by eating vegan food.","Somewhat Agree",NA,"Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree",NA,NA,NA,"Strongly Disagree","Somewhat Disagree","Somewhat Agree",NA,NA,NA,"Pro",6,674,312,"For","ANTI",0,1,1,0,0,1,1
18,1647024859437,"11/03/2022 18:54:19",6024941,2,16,"Agree","statements",16,"Most months","Most months","Male","A levels",3,"vegan","it can save animal lives","Somewhat Disagree",NA,"Neither Agree nor Disagree","Somewhat Agree","Disagree",NA,NA,NA,"Agree","Somewhat Disagree","Neither Agree nor Disagree",NA,NA,NA,"Pro",6,693,312,"For","ANTI",0,1,1,0,0,1,1
19,1647024861207,"11/03/2022 18:54:21",6024941,2,17,"Agree","statements",12,"A few times a year","Most months","Male","A levels",2,"vegan","Because of the way animals are treated","Strongly agree",NA,"Disagree","Disagree","Disagree",NA,NA,NA,"Strongly Disagree","Disagree","Strongly Disagree",NA,NA,NA,"Pro",6,668,312,"For","ANTI",0,1,1,0,0,1,1
22,1647024869811,"11/03/2022 18:54:29",6024941,2,20,"Neither Agree nor Disagree","statements",19,"A few times a year","A few times a year","Male","No formal qualifications",1,"vegan","I don't like meat, or am intolerant to lactose","Agree",NA,"Agree","Somewhat Disagree","Disagree",NA,NA,NA,"Disagree","Disagree","Somewhat Disagree",NA,NA,NA,"Pro",4,709,312,"For","ANTI",0,1,1,0,0,0,0
27,1647024887545,"11/03/2022 18:54:47",6024941,2,25,"Somewhat Agree","statements",19,"A few times a year","A few times a year","Male","No formal qualifications",3,"vegan","I want to reduce carbon footprint generated by producing meat","Agree",NA,"Agree","Somewhat Disagree","Disagree",NA,NA,NA,"Disagree","Disagree","Somewhat Disagree",NA,NA,NA,"Pro",5,711,312,"For","ANTI",0,1,1,0,0,0,0
29,1647024894318,"11/03/2022 18:54:54",6024941,2,27,"Neither Agree nor Disagree","statements",20,"Once or twice a year","A few times a year","Prefer not to say","Undergraduate degree (BSc, BA)",1,"vegan","no cruelty to animals","Somewhat Disagree",NA,"Disagree","Disagree","Disagree",NA,NA,NA,"Disagree","Disagree","Disagree",NA,NA,NA,"Pro",4,715,312,"For","ANTI",0,1,1,0,0,0,0
31,1647024899598,"11/03/2022 18:54:59",6024941,2,29,"Strongly Agree","statements",15,"Rarely","Rarely","Male","Postgraduate degree (MSc, MA, MPhil)",3,"vegan","we can live without meat.","Somewhat Agree",NA,"Strongly Disagree","Neither Agree nor Disagree","Disagree",NA,NA,NA,"Disagree","Disagree","Somewhat Disagree",NA,NA,NA,"Pro",7,687,312,"For","ANTI",0,1,1,0,0,1,1
32,1647024901912,"11/03/2022 18:55:01",6024941,2,30,"Somewhat Agree","statements",18,"Most months","Most weeks","Female","Undergraduate degree (BSc, BA)",3,"vegan","Have a healthy life. ","Strongly agree",NA,"Strongly Disagree","Strongly Disagree","Strongly Disagree",NA,NA,NA,"Strongly Disagree","Strongly Disagree","Strongly Disagree",NA,NA,NA,"Pro",5,705,312,"For","ANTI",0,1,1,0,0,0,0
33,1647024904527,"11/03/2022 18:55:04",6024941,2,31,"Agree","statements",12,"A few times a year","Most months","Male","A levels",1,"vegan","Because of polution that comes from the production of meat","Strongly agree",NA,"Disagree","Disagree","Disagree",NA,NA,NA,"Strongly Disagree","Disagree","Strongly Disagree",NA,NA,NA,"Pro",6,667,312,"For","ANTI",0,1,1,0,0,1,1
35,1647024910106,"11/03/2022 18:55:10",6024941,2,33,"Strongly Agree","statements",17,"Rarely","A few times a year","Male","A levels",1,"vegan","I don't like the thought of animals suffering","Disagree",NA,"Strongly Disagree","Strongly Disagree","Strongly Disagree",NA,NA,NA,"Strongly Disagree","Strongly Disagree","Strongly Disagree",NA,NA,NA,"Pro",7,697,312,"For","ANTI",0,1,1,0,0,1,1
36,1647024912031,"11/03/2022 18:55:12",6024941,2,34,"Somewhat Agree","statements",16,"Most months","Most months","Male","A levels",1,"vegan","It's healthier for you","Somewhat Disagree",NA,"Neither Agree nor Disagree","Somewhat Agree","Disagree",NA,NA,NA,"Agree","Somewhat Disagree","Neither Agree nor Disagree",NA,NA,NA,"Pro",5,691,312,"For","ANTI",0,1,1,0,0,0,0
39,1647024919636,"11/03/2022 18:55:19",6024941,2,37,"Agree","statements",19,"A few times a year","A few times a year","Male","No formal qualifications",2,"vegan","I want to change the way animals are treated and sacrificed for food","Agree",NA,"Agree","Somewhat Disagree","Disagree",NA,NA,NA,"Disagree","Disagree","Somewhat Disagree",NA,NA,NA,"Pro",6,710,312,"For","ANTI",0,1,1,0,0,1,1
40,1647024921216,"11/03/2022 18:55:21",6024941,2,38,"Agree","statements",20,"Once or twice a year","A few times a year","Prefer not to say","Undergraduate degree (BSc, BA)",2,"vegan","vegan food tastes amazing","Somewhat Disagree",NA,"Disagree","Disagree","Disagree",NA,NA,NA,"Disagree","Disagree","Disagree",NA,NA,NA,"Pro",6,716,312,"For","ANTI",0,1,1,0,0,1,1
43,1647024934503,"11/03/2022 18:55:34",6024941,2,41,"Agree","statements",14,"Once or twice a year","Rarely","Female","Undergraduate degree (BSc, BA)",3,"vegan","Saving the planet, less animal farms ","Somewhat Disagree",NA,"Disagree","Somewhat Disagree","Disagree",NA,NA,NA,"Disagree","Disagree","Disagree",NA,NA,NA,"Pro",6,681,312,"For","ANTI",0,1,1,0,0,1,1
46,1647024943611,"11/03/2022 18:55:43",6024941,2,44,"Neither Agree nor Disagree","statements",12,"A few times a year","Most months","Male","A levels",3,"vegan","Because of health related problems","Strongly agree",NA,"Disagree","Disagree","Disagree",NA,NA,NA,"Strongly Disagree","Disagree","Strongly Disagree",NA,NA,NA,"Pro",4,669,312,"For","ANTI",0,1,1,0,0,0,0
48,1647024948928,"11/03/2022 18:55:48",6024941,2,46,"Somewhat Agree","statements",14,"Once or twice a year","Rarely","Female","Undergraduate degree (BSc, BA)",2,"vegan","I believe it's healthier","Somewhat Disagree",NA,"Disagree","Somewhat Disagree","Disagree",NA,NA,NA,"Disagree","Disagree","Disagree",NA,NA,NA,"Pro",5,680,312,"For","ANTI",0,1,1,0,0,0,0
49,1647024951493,"11/03/2022 18:55:51",6024941,2,47,"Agree","statements",17,"Rarely","A few times a year","Male","A levels",2,"vegan","Due to environmental reasons","Disagree",NA,"Strongly Disagree","Strongly Disagree","Strongly Disagree",NA,NA,NA,"Strongly Disagree","Strongly Disagree","Strongly Disagree",NA,NA,NA,"Pro",6,698,312,"For","ANTI",0,1,1,0,0,1,1
50,1647024953739,"11/03/2022 18:55:53",6024941,2,48,"Somewhat Agree","statements",11,"Never","Once or twice a year","Male","Vocational Training / Apprenticeship",1,"vegan","You are saving the planet","Somewhat Agree",NA,"Strongly Disagree","Strongly Disagree","Strongly Disagree",NA,NA,NA,"Strongly Disagree","Strongly Disagree","Strongly Disagree",NA,NA,NA,"Pro",5,661,312,"For","ANTI",0,1,1,0,0,0,0
51,1647024955476,"11/03/2022 18:55:55",6024941,2,49,"Agree","statements",18,"Most months","Most weeks","Female","Undergraduate degree (BSc, BA)",1,"vegan","The love and care of the animals. ","Strongly agree",NA,"Strongly Disagree","Strongly Disagree","Strongly Disagree",NA,NA,NA,"Strongly Disagree","Strongly Disagree","Strongly Disagree",NA,NA,NA,"Pro",6,703,312,"For","ANTI",0,1,1,0,0,1,1
55,1647024964523,"11/03/2022 18:56:04",6024941,2,53,"Agree","statements",16,"Most months","Most months","Male","A levels",2,"vegan","it decreases CO2 emission","Somewhat Disagree",NA,"Neither Agree nor Disagree","Somewhat Agree","Disagree",NA,NA,NA,"Agree","Somewhat Disagree","Neither Agree nor Disagree",NA,NA,NA,"Pro",6,692,312,"For","ANTI",0,1,1,0,0,1,1
59,1647024975258,"11/03/2022 18:56:15",6024941,2,57,"Agree","statements",11,"Never","Once or twice a year","Male","Vocational Training / Apprenticeship",2,"vegan","meat is disgusting","Somewhat Agree",NA,"Strongly Disagree","Strongly Disagree","Strongly Disagree",NA,NA,NA,"Strongly Disagree","Strongly Disagree","Strongly Disagree",NA,NA,NA,"Pro",6,662,312,"For","ANTI",0,1,1,0,0,1,1
60,1647024981408,"11/03/2022 18:56:21",6024941,2,58,"Disagree","statements",15,"Rarely","Rarely","Male","Postgraduate degree (MSc, MA, MPhil)",2,"vegan","Animals are raised to go directly to a slaughterhouse.","Somewhat Agree",NA,"Strongly Disagree","Neither Agree nor Disagree","Disagree",NA,NA,NA,"Disagree","Disagree","Somewhat Disagree",NA,NA,NA,"Pro",2,686,312,"For","ANTI",0,1,1,0,0,0,0
62,1647024984307,"11/03/2022 18:56:24",6024941,2,60,"Neither Agree nor Disagree","statements",20,"Once or twice a year","A few times a year","Prefer not to say","Undergraduate degree (BSc, BA)",3,"vegan","better overall health","Somewhat Disagree",NA,"Disagree","Disagree","Disagree",NA,NA,NA,"Disagree","Disagree","Disagree",NA,NA,NA,"Pro",4,717,312,"For","ANTI",0,1,1,0,0,0,0
4,1647025406733,"11/03/2022 19:03:26",6025110,2,2,"Strongly Agree","statements",13,"Rarely","A few times a year","Male","No formal qualifications",3,"vegan","It's even tastier than animal food, and much healthier.","Somewhat Agree",NA,"Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree",NA,NA,NA,"Strongly Disagree","Somewhat Disagree","Somewhat Agree",NA,NA,NA,"Pro",7,675,313,"For","ANTI",0,1,1,0,0,1,1
7,1647025419553,"11/03/2022 19:03:39",6025110,2,5,"Strongly Disagree","statements",15,"Rarely","Rarely","Male","Postgraduate degree (MSc, MA, MPhil)",2,"vegan","Animals are raised to go directly to a slaughterhouse.","Somewhat Agree",NA,"Strongly Disagree","Neither Agree nor Disagree","Disagree",NA,NA,NA,"Disagree","Disagree","Somewhat Disagree",NA,NA,NA,"Pro",1,686,313,"For","ANTI",0,1,1,0,0,0,0
10,1647025430769,"11/03/2022 19:03:50",6025110,2,8,"Strongly Agree","statements",20,"Once or twice a year","A few times a year","Prefer not to say","Undergraduate degree (BSc, BA)",3,"vegan","better overall health","Somewhat Disagree",NA,"Disagree","Disagree","Disagree",NA,NA,NA,"Disagree","Disagree","Disagree",NA,NA,NA,"Pro",7,717,313,"For","ANTI",0,1,1,0,0,1,1
11,1647025435101,"11/03/2022 19:03:55",6025110,2,9,"Strongly Agree","statements",17,"Rarely","A few times a year","Male","A levels",3,"vegan","Some health benefits that come with it","Disagree",NA,"Strongly Disagree","Strongly Disagree","Strongly Disagree",NA,NA,NA,"Strongly Disagree","Strongly Disagree","Strongly Disagree",NA,NA,NA,"Pro",7,699,313,"For","ANTI",0,1,1,0,0,1,1
13,1647025444045,"11/03/2022 19:04:04",6025110,2,11,"Strongly Agree","statements",15,"Rarely","Rarely","Male","Postgraduate degree (MSc, MA, MPhil)",1,"vegan","Animals are in small cages.","Somewhat Agree",NA,"Strongly Disagree","Neither Agree nor Disagree","Disagree",NA,NA,NA,"Disagree","Disagree","Somewhat Disagree",NA,NA,NA,"Pro",7,685,313,"For","ANTI",0,1,1,0,0,1,1
14,1647025447390,"11/03/2022 19:04:07",6025110,2,12,"Strongly Agree","statements",18,"Most months","Most weeks","Female","Undergraduate degree (BSc, BA)",1,"vegan","The love and care of the animals. ","Strongly agree",NA,"Strongly Disagree","Strongly Disagree","Strongly Disagree",NA,NA,NA,"Strongly Disagree","Strongly Disagree","Strongly Disagree",NA,NA,NA,"Pro",7,703,313,"For","ANTI",0,1,1,0,0,1,1
15,1647025450339,"11/03/2022 19:04:10",6025110,2,13,"Strongly Agree","statements",11,"Never","Once or twice a year","Male","Vocational Training / Apprenticeship",3,"vegan","It is much healthier than a normal diet","Somewhat Agree",NA,"Strongly Disagree","Strongly Disagree","Strongly Disagree",NA,NA,NA,"Strongly Disagree","Strongly Disagree","Strongly Disagree",NA,NA,NA,"Pro",7,663,313,"For","ANTI",0,1,1,0,0,1,1
22,1647025493668,"11/03/2022 19:04:53",6025110,2,20,"Agree","statements",16,"Most months","Most months","Male","A levels",2,"vegan","it decreases CO2 emission","Somewhat Disagree",NA,"Neither Agree nor Disagree","Somewhat Agree","Disagree",NA,NA,NA,"Agree","Somewhat Disagree","Neither Agree nor Disagree",NA,NA,NA,"Pro",6,692,313,"For","ANTI",0,1,1,0,0,1,1
23,1647025496796,"11/03/2022 19:04:56",6025110,2,21,"Strongly Agree","statements",11,"Never","Once or twice a year","Male","Vocational Training / Apprenticeship",1,"vegan","You are saving the planet","Somewhat Agree",NA,"Strongly Disagree","Strongly Disagree","Strongly Disagree",NA,NA,NA,"Strongly Disagree","Strongly Disagree","Strongly Disagree",NA,NA,NA,"Pro",7,661,313,"For","ANTI",0,1,1,0,0,1,1
26,1647025515858,"11/03/2022 19:05:15",6025110,2,24,"Strongly Agree","statements",18,"Most months","Most weeks","Female","Undergraduate degree (BSc, BA)",3,"vegan","Have a healthy life. ","Strongly agree",NA,"Strongly Disagree","Strongly Disagree","Strongly Disagree",NA,NA,NA,"Strongly Disagree","Strongly Disagree","Strongly Disagree",NA,NA,NA,"Pro",7,705,313,"For","ANTI",0,1,1,0,0,1,1
28,1647025526896,"11/03/2022 19:05:26",6025110,2,26,"Strongly Agree","statements",17,"Rarely","A few times a year","Male","A levels",2,"vegan","Due to environmental reasons","Disagree",NA,"Strongly Disagree","Strongly Disagree","Strongly Disagree",NA,NA,NA,"Strongly Disagree","Strongly Disagree","Strongly Disagree",NA,NA,NA,"Pro",7,698,313,"For","ANTI",0,1,1,0,0,1,1
29,1647025529165,"11/03/2022 19:05:29",6025110,2,27,"Strongly Agree","statements",20,"Once or twice a year","A few times a year","Prefer not to say","Undergraduate degree (BSc, BA)",2,"vegan","vegan food tastes amazing","Somewhat Disagree",NA,"Disagree","Disagree","Disagree",NA,NA,NA,"Disagree","Disagree","Disagree",NA,NA,NA,"Pro",7,716,313,"For","ANTI",0,1,1,0,0,1,1
32,1647025541912,"11/03/2022 19:05:41",6025110,2,30,"Strongly Agree","statements",17,"Rarely","A few times a year","Male","A levels",1,"vegan","I don't like the thought of animals suffering","Disagree",NA,"Strongly Disagree","Strongly Disagree","Strongly Disagree",NA,NA,NA,"Strongly Disagree","Strongly Disagree","Strongly Disagree",NA,NA,NA,"Pro",7,697,313,"For","ANTI",0,1,1,0,0,1,1
33,1647025543543,"11/03/2022 19:05:43",6025110,2,31,"Strongly Agree","statements",20,"Once or twice a year","A few times a year","Prefer not to say","Undergraduate degree (BSc, BA)",1,"vegan","no cruelty to animals","Somewhat Disagree",NA,"Disagree","Disagree","Disagree",NA,NA,NA,"Disagree","Disagree","Disagree",NA,NA,NA,"Pro",7,715,313,"For","ANTI",0,1,1,0,0,1,1
34,1647025545795,"11/03/2022 19:05:45",6025110,2,32,"Strongly Agree","statements",15,"Rarely","Rarely","Male","Postgraduate degree (MSc, MA, MPhil)",3,"vegan","we can live without meat.","Somewhat Agree",NA,"Strongly Disagree","Neither Agree nor Disagree","Disagree",NA,NA,NA,"Disagree","Disagree","Somewhat Disagree",NA,NA,NA,"Pro",7,687,313,"For","ANTI",0,1,1,0,0,1,1
35,1647025551555,"11/03/2022 19:05:51",6025110,2,33,"Agree","statements",12,"A few times a year","Most months","Male","A levels",3,"vegan","Because of health related problems","Strongly agree",NA,"Disagree","Disagree","Disagree",NA,NA,NA,"Strongly Disagree","Disagree","Strongly Disagree",NA,NA,NA,"Pro",6,669,313,"For","ANTI",0,1,1,0,0,1,1
36,1647025553418,"11/03/2022 19:05:53",6025110,2,34,"Strongly Agree","statements",16,"Most months","Most months","Male","A levels",3,"vegan","it can save animal lives","Somewhat Disagree",NA,"Neither Agree nor Disagree","Somewhat Agree","Disagree",NA,NA,NA,"Agree","Somewhat Disagree","Neither Agree nor Disagree",NA,NA,NA,"Pro",7,693,313,"For","ANTI",0,1,1,0,0,1,1
37,1647025555156,"11/03/2022 19:05:55",6025110,2,35,"Strongly Agree","statements",12,"A few times a year","Most months","Male","A levels",2,"vegan","Because of the way animals are treated","Strongly agree",NA,"Disagree","Disagree","Disagree",NA,NA,NA,"Strongly Disagree","Disagree","Strongly Disagree",NA,NA,NA,"Pro",7,668,313,"For","ANTI",0,1,1,0,0,1,1
39,1647025563113,"11/03/2022 19:06:03",6025110,2,37,"Strongly Agree","statements",14,"Once or twice a year","Rarely","Female","Undergraduate degree (BSc, BA)",1,"vegan","Saving Animals from cruel conditions","Somewhat Disagree",NA,"Disagree","Somewhat Disagree","Disagree",NA,NA,NA,"Disagree","Disagree","Disagree",NA,NA,NA,"Pro",7,679,313,"For","ANTI",0,1,1,0,0,1,1
40,1647025566307,"11/03/2022 19:06:06",6025110,2,38,"Strongly Agree","statements",13,"Rarely","A few times a year","Male","No formal qualifications",1,"vegan","It is healthier for environment because it leaves smaller carbon footprint.","Somewhat Agree",NA,"Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree",NA,NA,NA,"Strongly Disagree","Somewhat Disagree","Somewhat Agree",NA,NA,NA,"Pro",7,673,313,"For","ANTI",0,1,1,0,0,1,1
42,1647025572938,"11/03/2022 19:06:12",6025110,2,40,"Strongly Agree","statements",14,"Once or twice a year","Rarely","Female","Undergraduate degree (BSc, BA)",2,"vegan","I believe it's healthier","Somewhat Disagree",NA,"Disagree","Somewhat Disagree","Disagree",NA,NA,NA,"Disagree","Disagree","Disagree",NA,NA,NA,"Pro",7,680,313,"For","ANTI",0,1,1,0,0,1,1
44,1647025584116,"11/03/2022 19:06:24",6025110,2,42,"Strongly Agree","statements",14,"Once or twice a year","Rarely","Female","Undergraduate degree (BSc, BA)",3,"vegan","Saving the planet, less animal farms ","Somewhat Disagree",NA,"Disagree","Somewhat Disagree","Disagree",NA,NA,NA,"Disagree","Disagree","Disagree",NA,NA,NA,"Pro",7,681,313,"For","ANTI",0,1,1,0,0,1,1
45,1647025585960,"11/03/2022 19:06:25",6025110,2,43,"Strongly Agree","statements",16,"Most months","Most months","Male","A levels",1,"vegan","It's healthier for you","Somewhat Disagree",NA,"Neither Agree nor Disagree","Somewhat Agree","Disagree",NA,NA,NA,"Agree","Somewhat Disagree","Neither Agree nor Disagree",NA,NA,NA,"Pro",7,691,313,"For","ANTI",0,1,1,0,0,1,1
46,1647025587950,"11/03/2022 19:06:27",6025110,2,44,"Strongly Agree","statements",11,"Never","Once or twice a year","Male","Vocational Training / Apprenticeship",2,"vegan","meat is disgusting","Somewhat Agree",NA,"Strongly Disagree","Strongly Disagree","Strongly Disagree",NA,NA,NA,"Strongly Disagree","Strongly Disagree","Strongly Disagree",NA,NA,NA,"Pro",7,662,313,"For","ANTI",0,1,1,0,0,1,1
50,1647025604057,"11/03/2022 19:06:44",6025110,2,48,"Strongly Agree","statements",19,"A few times a year","A few times a year","Male","No formal qualifications",2,"vegan","I want to change the way animals are treated and sacrificed for food","Agree",NA,"Agree","Somewhat Disagree","Disagree",NA,NA,NA,"Disagree","Disagree","Somewhat Disagree",NA,NA,NA,"Pro",7,710,313,"For","ANTI",0,1,1,0,0,1,1
51,1647025606618,"11/03/2022 19:06:46",6025110,2,49,"Strongly Agree","statements",19,"A few times a year","A few times a year","Male","No formal qualifications",3,"vegan","I want to reduce carbon footprint generated by producing meat","Agree",NA,"Agree","Somewhat Disagree","Disagree",NA,NA,NA,"Disagree","Disagree","Somewhat Disagree",NA,NA,NA,"Pro",7,711,313,"For","ANTI",0,1,1,0,0,1,1
55,1647025623132,"11/03/2022 19:07:03",6025110,2,53,"Strongly Agree","statements",12,"A few times a year","Most months","Male","A levels",1,"vegan","Because of polution that comes from the production of meat","Strongly agree",NA,"Disagree","Disagree","Disagree",NA,NA,NA,"Strongly Disagree","Disagree","Strongly Disagree",NA,NA,NA,"Pro",7,667,313,"For","ANTI",0,1,1,0,0,1,1
60,1647025642145,"11/03/2022 19:07:22",6025110,2,58,"Strongly Agree","statements",19,"A few times a year","A few times a year","Male","No formal qualifications",1,"vegan","I don't like meat, or am intolerant to lactose","Agree",NA,"Agree","Somewhat Disagree","Disagree",NA,NA,NA,"Disagree","Disagree","Somewhat Disagree",NA,NA,NA,"Pro",7,709,313,"For","ANTI",0,1,1,0,0,1,1
62,1647025648554,"11/03/2022 19:07:28",6025110,2,60,"Strongly Agree","statements",18,"Most months","Most weeks","Female","Undergraduate degree (BSc, BA)",2,"vegan","Enviromental care.  ","Strongly agree",NA,"Strongly Disagree","Strongly Disagree","Strongly Disagree",NA,NA,NA,"Strongly Disagree","Strongly Disagree","Strongly Disagree",NA,NA,NA,"Pro",7,704,313,"For","ANTI",0,1,1,0,0,1,1
