"Event.Index","UTC.Timestamp","UTC.Date","Participant.Private.ID","Task.Version","Trial.Number","Response","display","ARGUER_ID","discuss_1","read_1","age","gender","edu","argument_ID","Arg_Position","Arguments","stanely_L","stanley_R","intellectual_R_1","intellectual_R_2","intellectual_R_3","intellectual_L_1","intellectual_L_2","intellectual_L_3","morality_R_1","morality_R_2","morality_R_3","morality_L_1","morality_L_2","morality_L_3","rater_position","response_ratings","argument_index","Rater_ID","argument_Position","Arguer_Position","ITT_Condition_ProArguers","ITT_Condition_AntiArguers","ITT_cond","ITT_Baseline_ProArguers","ITT_Baseline_AntiArguers","passedITT","passed_relative_ITT"
36,1651854383961,"06/05/2022 16:26:23",6421530,3,34,"Somewhat Agree","statements",67,"Once or twice a year","Most months",57,"Female","Undergraduate degree (BSc, BA)",1,"Leave","Too much interference in UK laws",NA,"Somewhat Disagree",NA,NA,NA,"Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree",NA,NA,NA,"Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Pro",5,997,362,"For","ANTI",0,1,1,0,0,0,1
38,1651854388935,"06/05/2022 16:26:28",6421530,3,36,"Somewhat Agree","statements",63,"Rarely","Rarely",23,"Female","Undergraduate degree (BSc, BA)",2,"Leave","To control immigration",NA,"Somewhat Agree",NA,NA,NA,"Disagree","Disagree","Disagree",NA,NA,NA,"Disagree","Disagree","Disagree","Pro",5,974,362,"For","ANTI",0,1,1,0,0,0,1
41,1651854400085,"06/05/2022 16:26:40",6421530,3,39,"Strongly Agree","statements",65,"Never","Never",60,"Female","GCSEs",1,"Leave","In theory, greater freedom to gain business opportunities in countries without restrictions",NA,"Strongly Disagree",NA,NA,NA,"Neither Agree nor Disagree","Agree","Neither Agree nor Disagree",NA,NA,NA,"Agree","Agree","Neither Agree nor Disagree","Pro",7,985,362,"For","ANTI",0,1,1,0,0,1,1
42,1651854401934,"06/05/2022 16:26:41",6421530,3,40,"Strongly Agree","statements",69,"Rarely","Most months",26,"Female","Postgraduate degree (MSc, MA, MPhil)",3,"Leave","Can form new trading relationships outside of Europe.",NA,"Disagree",NA,NA,NA,"Somewhat Agree","Neither Agree nor Disagree","Somewhat Agree",NA,NA,NA,"Somewhat Disagree","Somewhat Agree","Somewhat Agree","Pro",7,1011,362,"For","ANTI",0,1,1,0,0,1,1
47,1651854417544,"06/05/2022 16:26:57",6421530,3,45,"Neither Agree nor Disagree","statements",64,"Rarely","Rarely",39,"Female","Postgraduate degree (MSc, MA, MPhil)",3,"Leave","Don't want immigrants taking jobs",NA,"Disagree",NA,NA,NA,"Somewhat Agree","Somewhat Agree","Somewhat Agree",NA,NA,NA,"Neither Agree nor Disagree","Somewhat Agree","Somewhat Agree","Pro",4,981,362,"For","ANTI",0,1,1,0,0,0,0
48,1651854420819,"06/05/2022 16:27:00",6421530,3,46,"Agree","statements",68,"Rarely","Rarely",25,"Female","Undergraduate degree (BSc, BA)",2,"Leave","law changes can't be easily made",NA,"Neither Agree nor Disagree",NA,NA,NA,"Neither Agree nor Disagree","Somewhat Agree","Somewhat Agree",NA,NA,NA,"Somewhat Disagree","Somewhat Disagree","Somewhat Disagree","Pro",6,1004,362,"For","ANTI",0,1,1,0,0,1,1
50,1651854426781,"06/05/2022 16:27:06",6421530,3,48,"Neither Agree nor Disagree","statements",69,"Rarely","Most months",26,"Female","Postgraduate degree (MSc, MA, MPhil)",1,"Leave","Stop Europeans moving to the UK and taking jobs.",NA,"Disagree",NA,NA,NA,"Somewhat Agree","Neither Agree nor Disagree","Somewhat Agree",NA,NA,NA,"Somewhat Disagree","Somewhat Agree","Somewhat Agree","Pro",4,1009,362,"For","ANTI",0,1,1,0,0,0,0
52,1651854432572,"06/05/2022 16:27:12",6421530,3,50,"Agree","statements",67,"Once or twice a year","Most months",57,"Female","Undergraduate degree (BSc, BA)",2,"Leave","Too much immigration through free movement",NA,"Somewhat Disagree",NA,NA,NA,"Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree",NA,NA,NA,"Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Pro",6,998,362,"For","ANTI",0,1,1,0,0,1,1
53,1651854433687,"06/05/2022 16:27:13",6421530,3,51,"Agree","statements",70,"Rarely","Most weeks",37,"Female","Undergraduate degree (BSc, BA)",3,"Leave","To maintain sovereignty ",NA,"Strongly Agree",NA,NA,NA,"Somewhat Disagree","Somewhat Agree","Agree",NA,NA,NA,"Somewhat Agree","Somewhat Agree","Somewhat Agree","Pro",6,1017,362,"For","ANTI",0,1,1,0,0,1,1
54,1651854437294,"06/05/2022 16:27:17",6421530,3,52,"Neither Agree nor Disagree","statements",62,"Once or twice a year","Most weeks",30,"Male","Undergraduate degree (BSc, BA)",1,"Leave","Because of false propoganda",NA,"Strongly Disagree",NA,NA,NA,"Somewhat Agree","Strongly Agree","Agree",NA,NA,NA,"Somewhat Agree","Agree","Neither Agree nor Disagree","Pro",4,967,362,"For","ANTI",0,1,1,0,0,0,0
56,1651854444373,"06/05/2022 16:27:24",6421530,3,54,"Somewhat Agree","statements",67,"Once or twice a year","Most months",57,"Female","Undergraduate degree (BSc, BA)",3,"Leave","Spend money going to EU in the UK",NA,"Somewhat Disagree",NA,NA,NA,"Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree",NA,NA,NA,"Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Pro",5,999,362,"For","ANTI",0,1,1,0,0,0,1
58,1651854450230,"06/05/2022 16:27:30",6421530,3,56,"Strongly Agree","statements",61,"Once or twice a year","Rarely",63,"Female","Undergraduate degree (BSc, BA)",1,"Leave","Low pay due to surplus workers",NA,"Somewhat Agree",NA,NA,NA,"Disagree","Disagree","Disagree",NA,NA,NA,"Disagree","Disagree","Disagree","Pro",7,961,362,"For","ANTI",0,1,1,0,0,1,1
60,1651854454243,"06/05/2022 16:27:34",6421530,3,58,"Neither Agree nor Disagree","statements",62,"Once or twice a year","Most weeks",30,"Male","Undergraduate degree (BSc, BA)",3,"Leave","Cannot think of a reason",NA,"Strongly Disagree",NA,NA,NA,"Somewhat Agree","Strongly Agree","Agree",NA,NA,NA,"Somewhat Agree","Agree","Neither Agree nor Disagree","Pro",4,969,362,"For","ANTI",0,1,1,0,0,0,0
64,1651854470515,"06/05/2022 16:27:50",6421530,3,62,"Neither Agree nor Disagree","statements",70,"Rarely","Most weeks",37,"Female","Undergraduate degree (BSc, BA)",1,"Leave","To 'take control of our own borders'",NA,"Strongly Agree",NA,NA,NA,"Somewhat Disagree","Somewhat Agree","Agree",NA,NA,NA,"Somewhat Agree","Somewhat Agree","Somewhat Agree","Pro",4,1015,362,"For","ANTI",0,1,1,0,0,0,0
3,1651854579882,"06/05/2022 16:29:39",6421611,3,1,"Agree","statements",70,"Rarely","Most weeks",37,"Female","Undergraduate degree (BSc, BA)",1,"Leave","To 'take control of our own borders'",NA,"Strongly Agree",NA,NA,NA,"Somewhat Disagree","Somewhat Agree","Agree",NA,NA,NA,"Somewhat Agree","Somewhat Agree","Somewhat Agree","Pro",6,1015,363,"For","ANTI",0,1,1,0,0,1,1
5,1651854594919,"06/05/2022 16:29:54",6421611,3,3,"Somewhat Disagree","statements",61,"Once or twice a year","Rarely",63,"Female","Undergraduate degree (BSc, BA)",1,"Leave","Low pay due to surplus workers",NA,"Somewhat Agree",NA,NA,NA,"Disagree","Disagree","Disagree",NA,NA,NA,"Disagree","Disagree","Disagree","Pro",3,961,363,"For","ANTI",0,1,1,0,0,0,0
8,1651854614188,"06/05/2022 16:30:14",6421611,3,6,"Somewhat Agree","statements",64,"Rarely","Rarely",39,"Female","Postgraduate degree (MSc, MA, MPhil)",2,"Leave","Don't want immigrants here",NA,"Disagree",NA,NA,NA,"Somewhat Agree","Somewhat Agree","Somewhat Agree",NA,NA,NA,"Neither Agree nor Disagree","Somewhat Agree","Somewhat Agree","Pro",5,980,363,"For","ANTI",0,1,1,0,0,0,1
13,1651854638380,"06/05/2022 16:30:38",6421611,3,11,"Strongly Agree","statements",69,"Rarely","Most months",26,"Female","Postgraduate degree (MSc, MA, MPhil)",2,"Leave","Don't want to be governed by EU beuarocrats.",NA,"Disagree",NA,NA,NA,"Somewhat Agree","Neither Agree nor Disagree","Somewhat Agree",NA,NA,NA,"Somewhat Disagree","Somewhat Agree","Somewhat Agree","Pro",7,1010,363,"For","ANTI",0,1,1,0,0,1,1
16,1651854664111,"06/05/2022 16:31:04",6421611,3,14,"Neither Agree nor Disagree","statements",62,"Once or twice a year","Most weeks",30,"Male","Undergraduate degree (BSc, BA)",3,"Leave","Cannot think of a reason",NA,"Strongly Disagree",NA,NA,NA,"Somewhat Agree","Strongly Agree","Agree",NA,NA,NA,"Somewhat Agree","Agree","Neither Agree nor Disagree","Pro",4,969,363,"For","ANTI",0,1,1,0,0,0,0
18,1651854685668,"06/05/2022 16:31:25",6421611,3,16,"Neither Agree nor Disagree","statements",70,"Rarely","Most weeks",37,"Female","Undergraduate degree (BSc, BA)",3,"Leave","To maintain sovereignty ",NA,"Strongly Agree",NA,NA,NA,"Somewhat Disagree","Somewhat Agree","Agree",NA,NA,NA,"Somewhat Agree","Somewhat Agree","Somewhat Agree","Pro",4,1017,363,"For","ANTI",0,1,1,0,0,0,0
19,1651854690869,"06/05/2022 16:31:30",6421611,3,17,"Somewhat Agree","statements",65,"Never","Never",60,"Female","GCSEs",1,"Leave","In theory, greater freedom to gain business opportunities in countries without restrictions",NA,"Strongly Disagree",NA,NA,NA,"Neither Agree nor Disagree","Agree","Neither Agree nor Disagree",NA,NA,NA,"Agree","Agree","Neither Agree nor Disagree","Pro",5,985,363,"For","ANTI",0,1,1,0,0,0,1
20,1651854702784,"06/05/2022 16:31:42",6421611,3,18,"Disagree","statements",66,"Never","A few times a year",41,"Male","Postgraduate degree (MSc, MA, MPhil)",2,"Leave","All the jobs are being taken by non-UK citizens: we need to the best jobs given back to our own citizens. ",NA,"Somewhat Disagree",NA,NA,NA,"Disagree","Disagree","Disagree",NA,NA,NA,"Disagree","Disagree","Disagree","Pro",2,992,363,"For","ANTI",0,1,1,0,0,0,0
23,1651854728464,"06/05/2022 16:32:08",6421611,3,21,"Agree","statements",67,"Once or twice a year","Most months",57,"Female","Undergraduate degree (BSc, BA)",2,"Leave","Too much immigration through free movement",NA,"Somewhat Disagree",NA,NA,NA,"Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree",NA,NA,NA,"Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Pro",6,998,363,"For","ANTI",0,1,1,0,0,1,1
24,1651854740588,"06/05/2022 16:32:20",6421611,3,22,"Agree","statements",69,"Rarely","Most months",26,"Female","Postgraduate degree (MSc, MA, MPhil)",3,"Leave","Can form new trading relationships outside of Europe.",NA,"Disagree",NA,NA,NA,"Somewhat Agree","Neither Agree nor Disagree","Somewhat Agree",NA,NA,NA,"Somewhat Disagree","Somewhat Agree","Somewhat Agree","Pro",6,1011,363,"For","ANTI",0,1,1,0,0,1,1
25,1651854742582,"06/05/2022 16:32:22",6421611,3,23,"Strongly Agree","statements",64,"Rarely","Rarely",39,"Female","Postgraduate degree (MSc, MA, MPhil)",1,"Leave","Being able to self govern",NA,"Disagree",NA,NA,NA,"Somewhat Agree","Somewhat Agree","Somewhat Agree",NA,NA,NA,"Neither Agree nor Disagree","Somewhat Agree","Somewhat Agree","Pro",7,979,363,"For","ANTI",0,1,1,0,0,1,1
28,1651854756676,"06/05/2022 16:32:36",6421611,3,26,"Agree","statements",68,"Rarely","Rarely",25,"Female","Undergraduate degree (BSc, BA)",2,"Leave","law changes can't be easily made",NA,"Neither Agree nor Disagree",NA,NA,NA,"Neither Agree nor Disagree","Somewhat Agree","Somewhat Agree",NA,NA,NA,"Somewhat Disagree","Somewhat Disagree","Somewhat Disagree","Pro",6,1004,363,"For","ANTI",0,1,1,0,0,1,1
29,1651854762050,"06/05/2022 16:32:42",6421611,3,27,"Agree","statements",66,"Never","A few times a year",41,"Male","Postgraduate degree (MSc, MA, MPhil)",3,"Leave","Our Island is too crowded -- let's take care of our own. There's little benefits to be gained from allowing all EU citizens to cross our borders and use our resources. ",NA,"Somewhat Disagree",NA,NA,NA,"Disagree","Disagree","Disagree",NA,NA,NA,"Disagree","Disagree","Disagree","Pro",6,993,363,"For","ANTI",0,1,1,0,0,1,1
32,1651854786174,"06/05/2022 16:33:06",6421611,3,30,"Neither Agree nor Disagree","statements",62,"Once or twice a year","Most weeks",30,"Male","Undergraduate degree (BSc, BA)",2,"Leave","Cannot think of a reason",NA,"Strongly Disagree",NA,NA,NA,"Somewhat Agree","Strongly Agree","Agree",NA,NA,NA,"Somewhat Agree","Agree","Neither Agree nor Disagree","Pro",4,968,363,"For","ANTI",0,1,1,0,0,0,0
33,1651854788633,"06/05/2022 16:33:08",6421611,3,31,"Agree","statements",67,"Once or twice a year","Most months",57,"Female","Undergraduate degree (BSc, BA)",1,"Leave","Too much interference in UK laws",NA,"Somewhat Disagree",NA,NA,NA,"Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree",NA,NA,NA,"Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Pro",6,997,363,"For","ANTI",0,1,1,0,0,1,1
34,1651854801975,"06/05/2022 16:33:21",6421611,3,32,"Neither Agree nor Disagree","statements",68,"Rarely","Rarely",25,"Female","Undergraduate degree (BSc, BA)",3,"Leave","sanctions for breaking laws",NA,"Neither Agree nor Disagree",NA,NA,NA,"Neither Agree nor Disagree","Somewhat Agree","Somewhat Agree",NA,NA,NA,"Somewhat Disagree","Somewhat Disagree","Somewhat Disagree","Pro",4,1005,363,"For","ANTI",0,1,1,0,0,0,0
36,1651854814025,"06/05/2022 16:33:34",6421611,3,34,"Disagree","statements",65,"Never","Never",60,"Female","GCSEs",2,"Leave","People from Europe cannot take British jobs so easily.",NA,"Strongly Disagree",NA,NA,NA,"Neither Agree nor Disagree","Agree","Neither Agree nor Disagree",NA,NA,NA,"Agree","Agree","Neither Agree nor Disagree","Pro",2,986,363,"For","ANTI",0,1,1,0,0,0,0
37,1651854821949,"06/05/2022 16:33:41",6421611,3,35,"Somewhat Agree","statements",70,"Rarely","Most weeks",37,"Female","Undergraduate degree (BSc, BA)",2,"Leave","To reduce immigration",NA,"Strongly Agree",NA,NA,NA,"Somewhat Disagree","Somewhat Agree","Agree",NA,NA,NA,"Somewhat Agree","Somewhat Agree","Somewhat Agree","Pro",5,1016,363,"For","ANTI",0,1,1,0,0,0,1
39,1651854829554,"06/05/2022 16:33:49",6421611,3,37,"Somewhat Agree","statements",69,"Rarely","Most months",26,"Female","Postgraduate degree (MSc, MA, MPhil)",1,"Leave","Stop Europeans moving to the UK and taking jobs.",NA,"Disagree",NA,NA,NA,"Somewhat Agree","Neither Agree nor Disagree","Somewhat Agree",NA,NA,NA,"Somewhat Disagree","Somewhat Agree","Somewhat Agree","Pro",5,1009,363,"For","ANTI",0,1,1,0,0,0,1
40,1651854835708,"06/05/2022 16:33:55",6421611,3,38,"Strongly Agree","statements",66,"Never","A few times a year",41,"Male","Postgraduate degree (MSc, MA, MPhil)",1,"Leave","We are paying too much to the EU that we would get back if we leave. ",NA,"Somewhat Disagree",NA,NA,NA,"Disagree","Disagree","Disagree",NA,NA,NA,"Disagree","Disagree","Disagree","Pro",7,991,363,"For","ANTI",0,1,1,0,0,1,1
45,1651854867000,"06/05/2022 16:34:27",6421611,3,43,"Somewhat Agree","statements",65,"Never","Never",60,"Female","GCSEs",3,"Leave","Restricting foreign workers , allows homes for British people. ",NA,"Strongly Disagree",NA,NA,NA,"Neither Agree nor Disagree","Agree","Neither Agree nor Disagree",NA,NA,NA,"Agree","Agree","Neither Agree nor Disagree","Pro",5,987,363,"For","ANTI",0,1,1,0,0,0,1
48,1651854880394,"06/05/2022 16:34:40",6421611,3,46,"Somewhat Agree","statements",67,"Once or twice a year","Most months",57,"Female","Undergraduate degree (BSc, BA)",3,"Leave","Spend money going to EU in the UK",NA,"Somewhat Disagree",NA,NA,NA,"Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree",NA,NA,NA,"Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Pro",5,999,363,"For","ANTI",0,1,1,0,0,0,1
50,1651854897048,"06/05/2022 16:34:57",6421611,3,48,"Somewhat Agree","statements",61,"Once or twice a year","Rarely",63,"Female","Undergraduate degree (BSc, BA)",3,"Leave","Less space in schools with too many people here",NA,"Somewhat Agree",NA,NA,NA,"Disagree","Disagree","Disagree",NA,NA,NA,"Disagree","Disagree","Disagree","Pro",5,963,363,"For","ANTI",0,1,1,0,0,0,1
51,1651854898789,"06/05/2022 16:34:58",6421611,3,49,"Agree","statements",63,"Rarely","Rarely",23,"Female","Undergraduate degree (BSc, BA)",2,"Leave","To control immigration",NA,"Somewhat Agree",NA,NA,NA,"Disagree","Disagree","Disagree",NA,NA,NA,"Disagree","Disagree","Disagree","Pro",6,974,363,"For","ANTI",0,1,1,0,0,1,1
53,1651854906900,"06/05/2022 16:35:06",6421611,3,51,"Strongly Agree","statements",63,"Rarely","Rarely",23,"Female","Undergraduate degree (BSc, BA)",3,"Leave","The UK can make their own laws",NA,"Somewhat Agree",NA,NA,NA,"Disagree","Disagree","Disagree",NA,NA,NA,"Disagree","Disagree","Disagree","Pro",7,975,363,"For","ANTI",0,1,1,0,0,1,1
54,1651854910464,"06/05/2022 16:35:10",6421611,3,52,"Somewhat Agree","statements",61,"Once or twice a year","Rarely",63,"Female","Undergraduate degree (BSc, BA)",2,"Leave","Less space in Hospitals due to high population",NA,"Somewhat Agree",NA,NA,NA,"Disagree","Disagree","Disagree",NA,NA,NA,"Disagree","Disagree","Disagree","Pro",5,962,363,"For","ANTI",0,1,1,0,0,0,1
58,1651854926164,"06/05/2022 16:35:26",6421611,3,56,"Neither Agree nor Disagree","statements",68,"Rarely","Rarely",25,"Female","Undergraduate degree (BSc, BA)",1,"Leave","Farming restrictions",NA,"Neither Agree nor Disagree",NA,NA,NA,"Neither Agree nor Disagree","Somewhat Agree","Somewhat Agree",NA,NA,NA,"Somewhat Disagree","Somewhat Disagree","Somewhat Disagree","Pro",4,1003,363,"For","ANTI",0,1,1,0,0,0,0
60,1651854931857,"06/05/2022 16:35:31",6421611,3,58,"Strongly Agree","statements",63,"Rarely","Rarely",23,"Female","Undergraduate degree (BSc, BA)",1,"Leave","More money to spend on issues in the UK",NA,"Somewhat Agree",NA,NA,NA,"Disagree","Disagree","Disagree",NA,NA,NA,"Disagree","Disagree","Disagree","Pro",7,973,363,"For","ANTI",0,1,1,0,0,1,1
63,1651854977213,"06/05/2022 16:36:17",6421611,3,61,"Somewhat Agree","statements",64,"Rarely","Rarely",39,"Female","Postgraduate degree (MSc, MA, MPhil)",3,"Leave","Don't want immigrants taking jobs",NA,"Disagree",NA,NA,NA,"Somewhat Agree","Somewhat Agree","Somewhat Agree",NA,NA,NA,"Neither Agree nor Disagree","Somewhat Agree","Somewhat Agree","Pro",5,981,363,"For","ANTI",0,1,1,0,0,0,1
64,1651854980220,"06/05/2022 16:36:20",6421611,3,62,"Somewhat Disagree","statements",62,"Once or twice a year","Most weeks",30,"Male","Undergraduate degree (BSc, BA)",1,"Leave","Because of false propoganda",NA,"Strongly Disagree",NA,NA,NA,"Somewhat Agree","Strongly Agree","Agree",NA,NA,NA,"Somewhat Agree","Agree","Neither Agree nor Disagree","Pro",3,967,363,"For","ANTI",0,1,1,0,0,0,0
3,1651855021875,"06/05/2022 16:37:01",6421697,3,1,"Somewhat Agree","statements",67,"Once or twice a year","Most months",57,"Female","Undergraduate degree (BSc, BA)",3,"Leave","Spend money going to EU in the UK",NA,"Somewhat Disagree",NA,NA,NA,"Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree",NA,NA,NA,"Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Pro",5,999,364,"For","ANTI",0,1,1,0,0,0,1
4,1651855024977,"06/05/2022 16:37:04",6421697,3,2,"Disagree","statements",62,"Once or twice a year","Most weeks",30,"Male","Undergraduate degree (BSc, BA)",2,"Leave","Cannot think of a reason",NA,"Strongly Disagree",NA,NA,NA,"Somewhat Agree","Strongly Agree","Agree",NA,NA,NA,"Somewhat Agree","Agree","Neither Agree nor Disagree","Pro",2,968,364,"For","ANTI",0,1,1,0,0,0,0
6,1651855032515,"06/05/2022 16:37:12",6421697,3,4,"Disagree","statements",61,"Once or twice a year","Rarely",63,"Female","Undergraduate degree (BSc, BA)",3,"Leave","Less space in schools with too many people here",NA,"Somewhat Agree",NA,NA,NA,"Disagree","Disagree","Disagree",NA,NA,NA,"Disagree","Disagree","Disagree","Pro",2,963,364,"For","ANTI",0,1,1,0,0,0,0
8,1651855038141,"06/05/2022 16:37:18",6421697,3,6,"Agree","statements",68,"Rarely","Rarely",25,"Female","Undergraduate degree (BSc, BA)",1,"Leave","Farming restrictions",NA,"Neither Agree nor Disagree",NA,NA,NA,"Neither Agree nor Disagree","Somewhat Agree","Somewhat Agree",NA,NA,NA,"Somewhat Disagree","Somewhat Disagree","Somewhat Disagree","Pro",6,1003,364,"For","ANTI",0,1,1,0,0,1,1
9,1651855039785,"06/05/2022 16:37:19",6421697,3,7,"Disagree","statements",62,"Once or twice a year","Most weeks",30,"Male","Undergraduate degree (BSc, BA)",3,"Leave","Cannot think of a reason",NA,"Strongly Disagree",NA,NA,NA,"Somewhat Agree","Strongly Agree","Agree",NA,NA,NA,"Somewhat Agree","Agree","Neither Agree nor Disagree","Pro",2,969,364,"For","ANTI",0,1,1,0,0,0,0
11,1651855047953,"06/05/2022 16:37:27",6421697,3,9,"Neither Agree nor Disagree","statements",61,"Once or twice a year","Rarely",63,"Female","Undergraduate degree (BSc, BA)",1,"Leave","Low pay due to surplus workers",NA,"Somewhat Agree",NA,NA,NA,"Disagree","Disagree","Disagree",NA,NA,NA,"Disagree","Disagree","Disagree","Pro",4,961,364,"For","ANTI",0,1,1,0,0,0,0
15,1651855060630,"06/05/2022 16:37:40",6421697,3,13,"Somewhat Disagree","statements",67,"Once or twice a year","Most months",57,"Female","Undergraduate degree (BSc, BA)",2,"Leave","Too much immigration through free movement",NA,"Somewhat Disagree",NA,NA,NA,"Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree",NA,NA,NA,"Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Pro",3,998,364,"For","ANTI",0,1,1,0,0,0,0
16,1651855062444,"06/05/2022 16:37:42",6421697,3,14,"Somewhat Disagree","statements",64,"Rarely","Rarely",39,"Female","Postgraduate degree (MSc, MA, MPhil)",1,"Leave","Being able to self govern",NA,"Disagree",NA,NA,NA,"Somewhat Agree","Somewhat Agree","Somewhat Agree",NA,NA,NA,"Neither Agree nor Disagree","Somewhat Agree","Somewhat Agree","Pro",3,979,364,"For","ANTI",0,1,1,0,0,0,0
22,1651855079434,"06/05/2022 16:37:59",6421697,3,20,"Somewhat Agree","statements",67,"Once or twice a year","Most months",57,"Female","Undergraduate degree (BSc, BA)",1,"Leave","Too much interference in UK laws",NA,"Somewhat Disagree",NA,NA,NA,"Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree",NA,NA,NA,"Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Pro",5,997,364,"For","ANTI",0,1,1,0,0,0,1
25,1651855086097,"06/05/2022 16:38:06",6421697,3,23,"Somewhat Disagree","statements",63,"Rarely","Rarely",23,"Female","Undergraduate degree (BSc, BA)",3,"Leave","The UK can make their own laws",NA,"Somewhat Agree",NA,NA,NA,"Disagree","Disagree","Disagree",NA,NA,NA,"Disagree","Disagree","Disagree","Pro",3,975,364,"For","ANTI",0,1,1,0,0,0,0
26,1651855089025,"06/05/2022 16:38:09",6421697,3,24,"Somewhat Disagree","statements",65,"Never","Never",60,"Female","GCSEs",3,"Leave","Restricting foreign workers , allows homes for British people. ",NA,"Strongly Disagree",NA,NA,NA,"Neither Agree nor Disagree","Agree","Neither Agree nor Disagree",NA,NA,NA,"Agree","Agree","Neither Agree nor Disagree","Pro",3,987,364,"For","ANTI",0,1,1,0,0,0,0
27,1651855091425,"06/05/2022 16:38:11",6421697,3,25,"Somewhat Disagree","statements",64,"Rarely","Rarely",39,"Female","Postgraduate degree (MSc, MA, MPhil)",3,"Leave","Don't want immigrants taking jobs",NA,"Disagree",NA,NA,NA,"Somewhat Agree","Somewhat Agree","Somewhat Agree",NA,NA,NA,"Neither Agree nor Disagree","Somewhat Agree","Somewhat Agree","Pro",3,981,364,"For","ANTI",0,1,1,0,0,0,0
29,1651855103017,"06/05/2022 16:38:23",6421697,3,27,"Somewhat Disagree","statements",65,"Never","Never",60,"Female","GCSEs",1,"Leave","In theory, greater freedom to gain business opportunities in countries without restrictions",NA,"Strongly Disagree",NA,NA,NA,"Neither Agree nor Disagree","Agree","Neither Agree nor Disagree",NA,NA,NA,"Agree","Agree","Neither Agree nor Disagree","Pro",3,985,364,"For","ANTI",0,1,1,0,0,0,0
31,1651855106581,"06/05/2022 16:38:26",6421697,3,29,"Somewhat Disagree","statements",62,"Once or twice a year","Most weeks",30,"Male","Undergraduate degree (BSc, BA)",1,"Leave","Because of false propoganda",NA,"Strongly Disagree",NA,NA,NA,"Somewhat Agree","Strongly Agree","Agree",NA,NA,NA,"Somewhat Agree","Agree","Neither Agree nor Disagree","Pro",3,967,364,"For","ANTI",0,1,1,0,0,0,0
32,1651855108265,"06/05/2022 16:38:28",6421697,3,30,"Disagree","statements",63,"Rarely","Rarely",23,"Female","Undergraduate degree (BSc, BA)",2,"Leave","To control immigration",NA,"Somewhat Agree",NA,NA,NA,"Disagree","Disagree","Disagree",NA,NA,NA,"Disagree","Disagree","Disagree","Pro",2,974,364,"For","ANTI",0,1,1,0,0,0,0
33,1651855111816,"06/05/2022 16:38:31",6421697,3,31,"Strongly Disagree","statements",66,"Never","A few times a year",41,"Male","Postgraduate degree (MSc, MA, MPhil)",2,"Leave","All the jobs are being taken by non-UK citizens: we need to the best jobs given back to our own citizens. ",NA,"Somewhat Disagree",NA,NA,NA,"Disagree","Disagree","Disagree",NA,NA,NA,"Disagree","Disagree","Disagree","Pro",1,992,364,"For","ANTI",0,1,1,0,0,0,0
34,1651855113871,"06/05/2022 16:38:33",6421697,3,32,"Neither Agree nor Disagree","statements",68,"Rarely","Rarely",25,"Female","Undergraduate degree (BSc, BA)",3,"Leave","sanctions for breaking laws",NA,"Neither Agree nor Disagree",NA,NA,NA,"Neither Agree nor Disagree","Somewhat Agree","Somewhat Agree",NA,NA,NA,"Somewhat Disagree","Somewhat Disagree","Somewhat Disagree","Pro",4,1005,364,"For","ANTI",0,1,1,0,0,0,0
35,1651855118765,"06/05/2022 16:38:38",6421697,3,33,"Somewhat Agree","statements",69,"Rarely","Most months",26,"Female","Postgraduate degree (MSc, MA, MPhil)",3,"Leave","Can form new trading relationships outside of Europe.",NA,"Disagree",NA,NA,NA,"Somewhat Agree","Neither Agree nor Disagree","Somewhat Agree",NA,NA,NA,"Somewhat Disagree","Somewhat Agree","Somewhat Agree","Pro",5,1011,364,"For","ANTI",0,1,1,0,0,0,1
37,1651855125033,"06/05/2022 16:38:45",6421697,3,35,"Strongly Disagree","statements",65,"Never","Never",60,"Female","GCSEs",2,"Leave","People from Europe cannot take British jobs so easily.",NA,"Strongly Disagree",NA,NA,NA,"Neither Agree nor Disagree","Agree","Neither Agree nor Disagree",NA,NA,NA,"Agree","Agree","Neither Agree nor Disagree","Pro",1,986,364,"For","ANTI",0,1,1,0,0,0,0
