"Event.Index","UTC.Timestamp","UTC.Date","Participant.Private.ID","Task.Version","Trial.Number","Response","display","ARGUER_ID","discuss_1","read_1","age","gender","edu","argument_ID","Arg_Position","Arguments","stanely_L","stanley_R","intellectual_R_1","intellectual_R_2","intellectual_R_3","intellectual_L_1","intellectual_L_2","intellectual_L_3","morality_R_1","morality_R_2","morality_R_3","morality_L_1","morality_L_2","morality_L_3","rater_position","response_ratings","argument_index","Rater_ID","argument_Position","Arguer_Position","ITT_Condition_ProArguers","ITT_Condition_AntiArguers","ITT_cond","ITT_Baseline_ProArguers","ITT_Baseline_AntiArguers"
18,1651664384353,"04/05/2022 11:39:44",6404958,4,16,"Disagree","statements",13,"Never","Never",58,"Female","GCSEs",1,"Leave","make our own choices","Neither Agree nor Disagree",NA,"Disagree","Disagree","Disagree",NA,NA,NA,"Disagree","Strongly Disagree","Strongly Disagree",NA,NA,NA,"Pro",2,73,113,"For","PRO",0,0,0,1,0
20,1651664392035,"04/05/2022 11:39:52",6404958,4,18,"Strongly Disagree","statements",19,"Never","Never",30,"Female","Undergraduate degree (BSc, BA)",2,"Leave","Because their families are","Somewhat Agree",NA,"Strongly Disagree","Strongly Disagree","Strongly Disagree",NA,NA,NA,"Strongly Disagree","Strongly Disagree","Strongly Disagree",NA,NA,NA,"Pro",1,110,113,"For","PRO",0,0,0,1,0
22,1651664399048,"04/05/2022 11:39:59",6404958,4,20,"Agree","statements",16,"Rarely","Rarely",NA,"Female","A levels",2,"Leave","The freedom to regulate in a more proportionate and agile way that works for our great British businesses;","Agree",NA,"Disagree","Disagree","Strongly Disagree",NA,NA,NA,"Disagree","Disagree","Disagree",NA,NA,NA,"Pro",6,92,113,"For","PRO",0,0,0,1,0
23,1651664401528,"04/05/2022 11:40:01",6404958,4,21,"Strongly Agree","statements",17,"Rarely","Rarely",35,"Male","GCSEs",2,"Leave","independence, not being tied to european laws","Neither Agree nor Disagree",NA,"Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree",NA,NA,NA,"Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree",NA,NA,NA,"Pro",7,98,113,"For","PRO",0,0,0,1,0
24,1651664404488,"04/05/2022 11:40:04",6404958,4,22,"Strongly Agree","statements",18,"Never","Never",35,"Female","GCSEs",1,"Leave","NHS we can protioze money and improve the nhs more","Neither Agree nor Disagree",NA,"Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree",NA,NA,NA,"Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree",NA,NA,NA,"Pro",7,103,113,"For","PRO",0,0,0,1,0
27,1651664412369,"04/05/2022 11:40:12",6404958,4,25,"Neither Agree nor Disagree","statements",15,"Never","Never",41,"Male","Undergraduate degree (BSc, BA)",2,"Leave","Slow progress on getting things done as too wide spectrum of MEPs so ideological views lead to long drawn out arguments and hinders the European project ","Agree",NA,"Disagree","Disagree","Disagree",NA,NA,NA,"Disagree","Strongly Disagree","Strongly Disagree",NA,NA,NA,"Pro",4,86,113,"For","PRO",0,0,0,1,0
28,1651664414844,"04/05/2022 11:40:14",6404958,4,26,"Agree","statements",20,"Once or twice a year","Rarely",65,"Male","Undergraduate degree (BSc, BA)",2,"Leave","Excessive ""overhead"" in managing the EU","Agree",NA,"Neither Agree nor Disagree","Somewhat Agree","Somewhat Disagree",NA,NA,NA,"Neither Agree nor Disagree","Somewhat Disagree","Somewhat Disagree",NA,NA,NA,"Pro",6,116,113,"For","PRO",0,0,0,1,0
29,1651664417855,"04/05/2022 11:40:17",6404958,4,27,"Strongly Agree","statements",14,"Rarely","Most months",64,"Male","GCSEs",3,"Leave","MORE INDEPENDENCE INCLUDING LAWS IN BRITAIN","Somewhat Disagree",NA,"Strongly Disagree","Strongly Disagree","Strongly Disagree",NA,NA,NA,"Strongly Disagree","Strongly Disagree","Strongly Disagree",NA,NA,NA,"Pro",7,81,113,"For","PRO",0,0,0,1,0
30,1651664425093,"04/05/2022 11:40:25",6404958,4,28,"Agree","statements",12,"Rarely","Rarely",56,"Female","A levels",2,"Leave","To make sure that jobs are available for british people","Agree",NA,"Strongly Disagree","Strongly Disagree","Strongly Disagree",NA,NA,NA,"Disagree","Disagree","Disagree",NA,NA,NA,"Pro",6,68,113,"For","PRO",0,0,0,1,0
31,1651664427782,"04/05/2022 11:40:27",6404958,4,29,"Strongly Agree","statements",11,"Rarely","Rarely",32,"Male","Doctorate (PhD)",2,"Leave","Less EU regulation and red tape ","Agree",NA,"Strongly Disagree","Strongly Disagree","Strongly Disagree",NA,NA,NA,"Strongly Disagree","Strongly Disagree","Strongly Disagree",NA,NA,NA,"Pro",7,62,113,"For","PRO",0,0,0,1,0
37,1651664443101,"04/05/2022 11:40:43",6404958,4,35,"Strongly Agree","statements",20,"Once or twice a year","Rarely",65,"Male","Undergraduate degree (BSc, BA)",3,"Leave","Greater world opportunities for trade","Agree",NA,"Neither Agree nor Disagree","Somewhat Agree","Somewhat Disagree",NA,NA,NA,"Neither Agree nor Disagree","Somewhat Disagree","Somewhat Disagree",NA,NA,NA,"Pro",7,117,113,"For","PRO",0,0,0,1,0
41,1651664451685,"04/05/2022 11:40:51",6404958,4,39,"Agree","statements",16,"Rarely","Rarely",NA,"Female","A levels",1,"Leave","We are able to stop as many migrants entering our country.","Agree",NA,"Disagree","Disagree","Strongly Disagree",NA,NA,NA,"Disagree","Disagree","Disagree",NA,NA,NA,"Pro",6,91,113,"For","PRO",0,0,0,1,0
42,1651664453407,"04/05/2022 11:40:53",6404958,4,40,"Strongly Agree","statements",14,"Rarely","Most months",64,"Male","GCSEs",2,"Leave","more money for the NHS","Somewhat Disagree",NA,"Strongly Disagree","Strongly Disagree","Strongly Disagree",NA,NA,NA,"Strongly Disagree","Strongly Disagree","Strongly Disagree",NA,NA,NA,"Pro",7,80,113,"For","PRO",0,0,0,1,0
43,1651664455408,"04/05/2022 11:40:55",6404958,4,41,"Strongly Agree","statements",18,"Never","Never",35,"Female","GCSEs",3,"Leave","LAws we can make our own laws ","Neither Agree nor Disagree",NA,"Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree",NA,NA,NA,"Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree",NA,NA,NA,"Pro",7,105,113,"For","PRO",0,0,0,1,0
44,1651664457173,"04/05/2022 11:40:57",6404958,4,42,"Strongly Agree","statements",15,"Never","Never",41,"Male","Undergraduate degree (BSc, BA)",1,"Leave","Too much red tape so things donât get done or over the top.  ","Agree",NA,"Disagree","Disagree","Disagree",NA,NA,NA,"Disagree","Strongly Disagree","Strongly Disagree",NA,NA,NA,"Pro",7,85,113,"For","PRO",0,0,0,1,0
45,1651664458361,"04/05/2022 11:40:58",6404958,4,43,"Strongly Agree","statements",11,"Rarely","Rarely",32,"Male","Doctorate (PhD)",3,"Leave","More money for the UK, instead of paying for the EU ","Agree",NA,"Strongly Disagree","Strongly Disagree","Strongly Disagree",NA,NA,NA,"Strongly Disagree","Strongly Disagree","Strongly Disagree",NA,NA,NA,"Pro",7,63,113,"For","PRO",0,0,0,1,0
46,1651664460943,"04/05/2022 11:41:00",6404958,4,44,"Agree","statements",20,"Once or twice a year","Rarely",65,"Male","Undergraduate degree (BSc, BA)",1,"Leave","Control of borders - letting people in and out that we validate","Agree",NA,"Neither Agree nor Disagree","Somewhat Agree","Somewhat Disagree",NA,NA,NA,"Neither Agree nor Disagree","Somewhat Disagree","Somewhat Disagree",NA,NA,NA,"Pro",6,115,113,"For","PRO",0,0,0,1,0
47,1651664463208,"04/05/2022 11:41:03",6404958,4,45,"Agree","statements",13,"Never","Never",58,"Female","GCSEs",2,"Leave","not pay lots of money to the eu","Neither Agree nor Disagree",NA,"Disagree","Disagree","Disagree",NA,NA,NA,"Disagree","Strongly Disagree","Strongly Disagree",NA,NA,NA,"Pro",6,74,113,"For","PRO",0,0,0,1,0
50,1651664477089,"04/05/2022 11:41:17",6404958,4,48,"Neither Agree nor Disagree","statements",13,"Never","Never",58,"Female","GCSEs",3,"Leave","less fishing rights in our waters","Neither Agree nor Disagree",NA,"Disagree","Disagree","Disagree",NA,NA,NA,"Disagree","Strongly Disagree","Strongly Disagree",NA,NA,NA,"Pro",4,75,113,"For","PRO",0,0,0,1,0
51,1651664479228,"04/05/2022 11:41:19",6404958,4,49,"Agree","statements",12,"Rarely","Rarely",56,"Female","A levels",1,"Leave","To save money that was spent on membership and instead give it to the NHS","Agree",NA,"Strongly Disagree","Strongly Disagree","Strongly Disagree",NA,NA,NA,"Disagree","Disagree","Disagree",NA,NA,NA,"Pro",6,67,113,"For","PRO",0,0,0,1,0
52,1651664480492,"04/05/2022 11:41:20",6404958,4,50,"Agree","statements",19,"Never","Never",30,"Female","Undergraduate degree (BSc, BA)",1,"Leave","Independent form the EU","Somewhat Agree",NA,"Strongly Disagree","Strongly Disagree","Strongly Disagree",NA,NA,NA,"Strongly Disagree","Strongly Disagree","Strongly Disagree",NA,NA,NA,"Pro",6,109,113,"For","PRO",0,0,0,1,0
55,1651664487170,"04/05/2022 11:41:27",6404958,4,53,"Somewhat Disagree","statements",15,"Never","Never",41,"Male","Undergraduate degree (BSc, BA)",3,"Leave","Countries unequal in economy leading to disproportionate immigration which then leads to social tensions","Agree",NA,"Disagree","Disagree","Disagree",NA,NA,NA,"Disagree","Strongly Disagree","Strongly Disagree",NA,NA,NA,"Pro",3,87,113,"For","PRO",0,0,0,1,0
56,1651664489203,"04/05/2022 11:41:29",6404958,4,54,"Strongly Agree","statements",18,"Never","Never",35,"Female","GCSEs",2,"Leave","Border control we can be in control ","Neither Agree nor Disagree",NA,"Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree",NA,NA,NA,"Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree",NA,NA,NA,"Pro",7,104,113,"For","PRO",0,0,0,1,0
58,1651664496562,"04/05/2022 11:41:36",6404958,4,56,"Agree","statements",17,"Rarely","Rarely",35,"Male","GCSEs",3,"Leave","own laws, the european courts deciding things rather than us","Neither Agree nor Disagree",NA,"Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree",NA,NA,NA,"Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree",NA,NA,NA,"Pro",6,99,113,"For","PRO",0,0,0,1,0
60,1651664500671,"04/05/2022 11:41:40",6404958,4,58,"Agree","statements",17,"Rarely","Rarely",35,"Male","GCSEs",1,"Leave","immigration, more control over who comes in and out","Neither Agree nor Disagree",NA,"Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree",NA,NA,NA,"Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree",NA,NA,NA,"Pro",6,97,113,"For","PRO",0,0,0,1,0
61,1651664502502,"04/05/2022 11:41:42",6404958,4,59,"Agree","statements",12,"Rarely","Rarely",56,"Female","A levels",3,"Leave","To stop people coming into the country and claiming benefits and taking priority on the council housing list","Agree",NA,"Strongly Disagree","Strongly Disagree","Strongly Disagree",NA,NA,NA,"Disagree","Disagree","Disagree",NA,NA,NA,"Pro",6,69,113,"For","PRO",0,0,0,1,0
5,1651664570624,"04/05/2022 11:42:50",6404998,4,3,"Neither Agree nor Disagree","statements",16,"Rarely","Rarely",NA,"Female","A levels",3,"Leave","Save money helping other countries, we don't need to send aid","Agree",NA,"Disagree","Disagree","Strongly Disagree",NA,NA,NA,"Disagree","Disagree","Disagree",NA,NA,NA,"Pro",4,93,114,"For","PRO",0,0,0,1,0
7,1651664582936,"04/05/2022 11:43:02",6404998,4,5,"Strongly Agree","statements",13,"Never","Never",58,"Female","GCSEs",1,"Leave","make our own choices","Neither Agree nor Disagree",NA,"Disagree","Disagree","Disagree",NA,NA,NA,"Disagree","Strongly Disagree","Strongly Disagree",NA,NA,NA,"Pro",7,73,114,"For","PRO",0,0,0,1,0
8,1651664585922,"04/05/2022 11:43:05",6404998,4,6,"Strongly Disagree","statements",16,"Rarely","Rarely",NA,"Female","A levels",1,"Leave","We are able to stop as many migrants entering our country.","Agree",NA,"Disagree","Disagree","Strongly Disagree",NA,NA,NA,"Disagree","Disagree","Disagree",NA,NA,NA,"Pro",1,91,114,"For","PRO",0,0,0,1,0
10,1651664591282,"04/05/2022 11:43:11",6404998,4,8,"Strongly Agree","statements",11,"Rarely","Rarely",32,"Male","Doctorate (PhD)",2,"Leave","Less EU regulation and red tape ","Agree",NA,"Strongly Disagree","Strongly Disagree","Strongly Disagree",NA,NA,NA,"Strongly Disagree","Strongly Disagree","Strongly Disagree",NA,NA,NA,"Pro",7,62,114,"For","PRO",0,0,0,1,0
11,1651664593037,"04/05/2022 11:43:13",6404998,4,9,"Strongly Agree","statements",20,"Once or twice a year","Rarely",65,"Male","Undergraduate degree (BSc, BA)",3,"Leave","Greater world opportunities for trade","Agree",NA,"Neither Agree nor Disagree","Somewhat Agree","Somewhat Disagree",NA,NA,NA,"Neither Agree nor Disagree","Somewhat Disagree","Somewhat Disagree",NA,NA,NA,"Pro",7,117,114,"For","PRO",0,0,0,1,0
13,1651664598677,"04/05/2022 11:43:18",6404998,4,11,"Strongly Agree","statements",11,"Rarely","Rarely",32,"Male","Doctorate (PhD)",3,"Leave","More money for the UK, instead of paying for the EU ","Agree",NA,"Strongly Disagree","Strongly Disagree","Strongly Disagree",NA,NA,NA,"Strongly Disagree","Strongly Disagree","Strongly Disagree",NA,NA,NA,"Pro",7,63,114,"For","PRO",0,0,0,1,0
14,1651664601411,"04/05/2022 11:43:21",6404998,4,12,"Strongly Disagree","statements",11,"Rarely","Rarely",32,"Male","Doctorate (PhD)",1,"Leave","Reduce immigration to the UK ","Agree",NA,"Strongly Disagree","Strongly Disagree","Strongly Disagree",NA,NA,NA,"Strongly Disagree","Strongly Disagree","Strongly Disagree",NA,NA,NA,"Pro",1,61,114,"For","PRO",0,0,0,1,0
15,1651664604272,"04/05/2022 11:43:24",6404998,4,13,"Strongly Disagree","statements",12,"Rarely","Rarely",56,"Female","A levels",2,"Leave","To make sure that jobs are available for british people","Agree",NA,"Strongly Disagree","Strongly Disagree","Strongly Disagree",NA,NA,NA,"Disagree","Disagree","Disagree",NA,NA,NA,"Pro",1,68,114,"For","PRO",0,0,0,1,0
19,1651664618803,"04/05/2022 11:43:38",6404998,4,17,"Strongly Agree","statements",17,"Rarely","Rarely",35,"Male","GCSEs",3,"Leave","own laws, the european courts deciding things rather than us","Neither Agree nor Disagree",NA,"Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree",NA,NA,NA,"Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree",NA,NA,NA,"Pro",7,99,114,"For","PRO",0,0,0,1,0
20,1651664624460,"04/05/2022 11:43:44",6404998,4,18,"Strongly Agree","statements",16,"Rarely","Rarely",NA,"Female","A levels",2,"Leave","The freedom to regulate in a more proportionate and agile way that works for our great British businesses;","Agree",NA,"Disagree","Disagree","Strongly Disagree",NA,NA,NA,"Disagree","Disagree","Disagree",NA,NA,NA,"Pro",7,92,114,"For","PRO",0,0,0,1,0
27,1651664648443,"04/05/2022 11:44:08",6404998,4,25,"Strongly Agree","statements",12,"Rarely","Rarely",56,"Female","A levels",1,"Leave","To save money that was spent on membership and instead give it to the NHS","Agree",NA,"Strongly Disagree","Strongly Disagree","Strongly Disagree",NA,NA,NA,"Disagree","Disagree","Disagree",NA,NA,NA,"Pro",7,67,114,"For","PRO",0,0,0,1,0
28,1651664652049,"04/05/2022 11:44:12",6404998,4,26,"Strongly Disagree","statements",19,"Never","Never",30,"Female","Undergraduate degree (BSc, BA)",2,"Leave","Because their families are","Somewhat Agree",NA,"Strongly Disagree","Strongly Disagree","Strongly Disagree",NA,NA,NA,"Strongly Disagree","Strongly Disagree","Strongly Disagree",NA,NA,NA,"Pro",1,110,114,"For","PRO",0,0,0,1,0
29,1651664655536,"04/05/2022 11:44:15",6404998,4,27,"Strongly Agree","statements",15,"Never","Never",41,"Male","Undergraduate degree (BSc, BA)",1,"Leave","Too much red tape so things donât get done or over the top.  ","Agree",NA,"Disagree","Disagree","Disagree",NA,NA,NA,"Disagree","Strongly Disagree","Strongly Disagree",NA,NA,NA,"Pro",7,85,114,"For","PRO",0,0,0,1,0
30,1651664659951,"04/05/2022 11:44:19",6404998,4,28,"Strongly Agree","statements",15,"Never","Never",41,"Male","Undergraduate degree (BSc, BA)",3,"Leave","Countries unequal in economy leading to disproportionate immigration which then leads to social tensions","Agree",NA,"Disagree","Disagree","Disagree",NA,NA,NA,"Disagree","Strongly Disagree","Strongly Disagree",NA,NA,NA,"Pro",7,87,114,"For","PRO",0,0,0,1,0
34,1651664674037,"04/05/2022 11:44:34",6404998,4,32,"Strongly Agree","statements",18,"Never","Never",35,"Female","GCSEs",2,"Leave","Border control we can be in control ","Neither Agree nor Disagree",NA,"Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree",NA,NA,NA,"Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree",NA,NA,NA,"Pro",7,104,114,"For","PRO",0,0,0,1,0
38,1651664690122,"04/05/2022 11:44:50",6404998,4,36,"Strongly Disagree","statements",14,"Rarely","Most months",64,"Male","GCSEs",2,"Leave","more money for the NHS","Somewhat Disagree",NA,"Strongly Disagree","Strongly Disagree","Strongly Disagree",NA,NA,NA,"Strongly Disagree","Strongly Disagree","Strongly Disagree",NA,NA,NA,"Pro",1,80,114,"For","PRO",0,0,0,1,0
39,1651664701264,"04/05/2022 11:45:01",6404998,4,37,"Strongly Disagree","statements",19,"Never","Never",30,"Female","Undergraduate degree (BSc, BA)",3,"Leave","Because I believe something I have read online","Somewhat Agree",NA,"Strongly Disagree","Strongly Disagree","Strongly Disagree",NA,NA,NA,"Strongly Disagree","Strongly Disagree","Strongly Disagree",NA,NA,NA,"Pro",1,111,114,"For","PRO",0,0,0,1,0
41,1651664708732,"04/05/2022 11:45:08",6404998,4,39,"Strongly Agree","statements",12,"Rarely","Rarely",56,"Female","A levels",3,"Leave","To stop people coming into the country and claiming benefits and taking priority on the council housing list","Agree",NA,"Strongly Disagree","Strongly Disagree","Strongly Disagree",NA,NA,NA,"Disagree","Disagree","Disagree",NA,NA,NA,"Pro",7,69,114,"For","PRO",0,0,0,1,0
43,1651664715618,"04/05/2022 11:45:15",6404998,4,41,"Neither Agree nor Disagree","statements",17,"Rarely","Rarely",35,"Male","GCSEs",1,"Leave","immigration, more control over who comes in and out","Neither Agree nor Disagree",NA,"Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree",NA,NA,NA,"Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree",NA,NA,NA,"Pro",4,97,114,"For","PRO",0,0,0,1,0
45,1651664722990,"04/05/2022 11:45:22",6404998,4,43,"Somewhat Agree","statements",18,"Never","Never",35,"Female","GCSEs",1,"Leave","NHS we can protioze money and improve the nhs more","Neither Agree nor Disagree",NA,"Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree",NA,NA,NA,"Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree",NA,NA,NA,"Pro",5,103,114,"For","PRO",0,0,0,1,0
47,1651664730062,"04/05/2022 11:45:30",6404998,4,45,"Strongly Agree","statements",20,"Once or twice a year","Rarely",65,"Male","Undergraduate degree (BSc, BA)",2,"Leave","Excessive ""overhead"" in managing the EU","Agree",NA,"Neither Agree nor Disagree","Somewhat Agree","Somewhat Disagree",NA,NA,NA,"Neither Agree nor Disagree","Somewhat Disagree","Somewhat Disagree",NA,NA,NA,"Pro",7,116,114,"For","PRO",0,0,0,1,0
49,1651664737052,"04/05/2022 11:45:37",6404998,4,47,"Strongly Agree","statements",14,"Rarely","Most months",64,"Male","GCSEs",3,"Leave","MORE INDEPENDENCE INCLUDING LAWS IN BRITAIN","Somewhat Disagree",NA,"Strongly Disagree","Strongly Disagree","Strongly Disagree",NA,NA,NA,"Strongly Disagree","Strongly Disagree","Strongly Disagree",NA,NA,NA,"Pro",7,81,114,"For","PRO",0,0,0,1,0
50,1651664739035,"04/05/2022 11:45:39",6404998,4,48,"Strongly Agree","statements",14,"Rarely","Most months",64,"Male","GCSEs",1,"Leave","less bills to pay to the EU,","Somewhat Disagree",NA,"Strongly Disagree","Strongly Disagree","Strongly Disagree",NA,NA,NA,"Strongly Disagree","Strongly Disagree","Strongly Disagree",NA,NA,NA,"Pro",7,79,114,"For","PRO",0,0,0,1,0
54,1651664752045,"04/05/2022 11:45:52",6404998,4,52,"Strongly Agree","statements",17,"Rarely","Rarely",35,"Male","GCSEs",2,"Leave","independence, not being tied to european laws","Neither Agree nor Disagree",NA,"Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree",NA,NA,NA,"Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree",NA,NA,NA,"Pro",7,98,114,"For","PRO",0,0,0,1,0
55,1651664755952,"04/05/2022 11:45:55",6404998,4,53,"Strongly Agree","statements",20,"Once or twice a year","Rarely",65,"Male","Undergraduate degree (BSc, BA)",1,"Leave","Control of borders - letting people in and out that we validate","Agree",NA,"Neither Agree nor Disagree","Somewhat Agree","Somewhat Disagree",NA,NA,NA,"Neither Agree nor Disagree","Somewhat Disagree","Somewhat Disagree",NA,NA,NA,"Pro",7,115,114,"For","PRO",0,0,0,1,0
56,1651664762099,"04/05/2022 11:46:02",6404998,4,54,"Strongly Agree","statements",15,"Never","Never",41,"Male","Undergraduate degree (BSc, BA)",2,"Leave","Slow progress on getting things done as too wide spectrum of MEPs so ideological views lead to long drawn out arguments and hinders the European project ","Agree",NA,"Disagree","Disagree","Disagree",NA,NA,NA,"Disagree","Strongly Disagree","Strongly Disagree",NA,NA,NA,"Pro",7,86,114,"For","PRO",0,0,0,1,0
58,1651664768527,"04/05/2022 11:46:08",6404998,4,56,"Strongly Agree","statements",13,"Never","Never",58,"Female","GCSEs",3,"Leave","less fishing rights in our waters","Neither Agree nor Disagree",NA,"Disagree","Disagree","Disagree",NA,NA,NA,"Disagree","Strongly Disagree","Strongly Disagree",NA,NA,NA,"Pro",7,75,114,"For","PRO",0,0,0,1,0
60,1651664774001,"04/05/2022 11:46:14",6404998,4,58,"Strongly Agree","statements",19,"Never","Never",30,"Female","Undergraduate degree (BSc, BA)",1,"Leave","Independent form the EU","Somewhat Agree",NA,"Strongly Disagree","Strongly Disagree","Strongly Disagree",NA,NA,NA,"Strongly Disagree","Strongly Disagree","Strongly Disagree",NA,NA,NA,"Pro",7,109,114,"For","PRO",0,0,0,1,0
62,1651664779047,"04/05/2022 11:46:19",6404998,4,60,"Strongly Agree","statements",18,"Never","Never",35,"Female","GCSEs",3,"Leave","LAws we can make our own laws ","Neither Agree nor Disagree",NA,"Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree",NA,NA,NA,"Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree",NA,NA,NA,"Pro",7,105,114,"For","PRO",0,0,0,1,0
63,1651664781170,"04/05/2022 11:46:21",6404998,4,61,"Strongly Agree","statements",13,"Never","Never",58,"Female","GCSEs",2,"Leave","not pay lots of money to the eu","Neither Agree nor Disagree",NA,"Disagree","Disagree","Disagree",NA,NA,NA,"Disagree","Strongly Disagree","Strongly Disagree",NA,NA,NA,"Pro",7,74,114,"For","PRO",0,0,0,1,0
3,1651664588906,"04/05/2022 11:43:08",6404990,4,1,"Agree","statements",16,"Rarely","Rarely",NA,"Female","A levels",2,"Leave","The freedom to regulate in a more proportionate and agile way that works for our great British businesses;","Agree",NA,"Disagree","Disagree","Strongly Disagree",NA,NA,NA,"Disagree","Disagree","Disagree",NA,NA,NA,"Pro",6,92,115,"For","PRO",0,0,0,1,0
5,1651664604620,"04/05/2022 11:43:24",6404990,4,3,"Strongly Agree","statements",20,"Once or twice a year","Rarely",65,"Male","Undergraduate degree (BSc, BA)",2,"Leave","Excessive ""overhead"" in managing the EU","Agree",NA,"Neither Agree nor Disagree","Somewhat Agree","Somewhat Disagree",NA,NA,NA,"Neither Agree nor Disagree","Somewhat Disagree","Somewhat Disagree",NA,NA,NA,"Pro",7,116,115,"For","PRO",0,0,0,1,0
6,1651664609756,"04/05/2022 11:43:29",6404990,4,4,"Somewhat Agree","statements",16,"Rarely","Rarely",NA,"Female","A levels",1,"Leave","We are able to stop as many migrants entering our country.","Agree",NA,"Disagree","Disagree","Strongly Disagree",NA,NA,NA,"Disagree","Disagree","Disagree",NA,NA,NA,"Pro",5,91,115,"For","PRO",0,0,0,1,0
7,1651664615142,"04/05/2022 11:43:35",6404990,4,5,"Strongly Agree","statements",20,"Once or twice a year","Rarely",65,"Male","Undergraduate degree (BSc, BA)",1,"Leave","Control of borders - letting people in and out that we validate","Agree",NA,"Neither Agree nor Disagree","Somewhat Agree","Somewhat Disagree",NA,NA,NA,"Neither Agree nor Disagree","Somewhat Disagree","Somewhat Disagree",NA,NA,NA,"Pro",7,115,115,"For","PRO",0,0,0,1,0
8,1651664618334,"04/05/2022 11:43:38",6404990,4,6,"Strongly Agree","statements",18,"Never","Never",35,"Female","GCSEs",3,"Leave","LAws we can make our own laws ","Neither Agree nor Disagree",NA,"Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree",NA,NA,NA,"Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree",NA,NA,NA,"Pro",7,105,115,"For","PRO",0,0,0,1,0
11,1651664628719,"04/05/2022 11:43:48",6404990,4,9,"Somewhat Agree","statements",11,"Rarely","Rarely",32,"Male","Doctorate (PhD)",1,"Leave","Reduce immigration to the UK ","Agree",NA,"Strongly Disagree","Strongly Disagree","Strongly Disagree",NA,NA,NA,"Strongly Disagree","Strongly Disagree","Strongly Disagree",NA,NA,NA,"Pro",5,61,115,"For","PRO",0,0,0,1,0
16,1651664646366,"04/05/2022 11:44:06",6404990,4,14,"Strongly Agree","statements",14,"Rarely","Most months",64,"Male","GCSEs",3,"Leave","MORE INDEPENDENCE INCLUDING LAWS IN BRITAIN","Somewhat Disagree",NA,"Strongly Disagree","Strongly Disagree","Strongly Disagree",NA,NA,NA,"Strongly Disagree","Strongly Disagree","Strongly Disagree",NA,NA,NA,"Pro",7,81,115,"For","PRO",0,0,0,1,0
19,1651664663376,"04/05/2022 11:44:23",6404990,4,17,"Somewhat Agree","statements",17,"Rarely","Rarely",35,"Male","GCSEs",3,"Leave","own laws, the european courts deciding things rather than us","Neither Agree nor Disagree",NA,"Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree",NA,NA,NA,"Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree",NA,NA,NA,"Pro",5,99,115,"For","PRO",0,0,0,1,0
20,1651664669742,"04/05/2022 11:44:29",6404990,4,18,"Agree","statements",19,"Never","Never",30,"Female","Undergraduate degree (BSc, BA)",1,"Leave","Independent form the EU","Somewhat Agree",NA,"Strongly Disagree","Strongly Disagree","Strongly Disagree",NA,NA,NA,"Strongly Disagree","Strongly Disagree","Strongly Disagree",NA,NA,NA,"Pro",6,109,115,"For","PRO",0,0,0,1,0
22,1651664675569,"04/05/2022 11:44:35",6404990,4,20,"Somewhat Agree","statements",18,"Never","Never",35,"Female","GCSEs",2,"Leave","Border control we can be in control ","Neither Agree nor Disagree",NA,"Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree",NA,NA,NA,"Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree",NA,NA,NA,"Pro",5,104,115,"For","PRO",0,0,0,1,0
